application_id,candidate_id,job_id,source_id,source_name_raw,application_date,application_status,last_stage,rejection_reason,withdrawal_date,salary_expectation_eur,data_processing_consent
APP000001,CAN06652,JOB0155,SRC004,Employee Referral,2025-03-09,Rejected,Interview,Position cancelled,,75500.0,True
APP000002,CAN13079,JOB0342,SRC003,Indeed,2025-07-23,Rejected,Interview,Interview evaluation,,81500.0,True
APP000003,CAN08563,JOB0252,SRC003,indeed,2025-02-04,Rejected,Application,Minimum requirements not met,,72000.0,True
APP000004,CAN04508,JOB0242,SRC002,LinkedIn,2024-07-08,Rejected,Application,Minimum requirements not met,,80000.0,True
APP000005,CAN13788,JOB0042,SRC007,University Event,2025-07-30,Rejected,Interview,Experience mismatch,,48000.0,True
APP000006,CAN06823,JOB0086,SRC003,Indeed,2024-03-26,Rejected,Application,Minimum requirements not met,,104500.0,True
APP000007,CAN11704,JOB0065,SRC002,Linked In,2025-04-21,Rejected,Application,Minimum requirements not met,,67000.0,True
APP000008,CAN11995,JOB0344,SRC006,Federal Employment Agency,2024-02-07,Rejected,Application,Minimum requirements not met,,83000.0,False
APP000009,CAN07919,JOB0021,SRC004,Employee Referral,2024-07-25,Hired,Hired,Minimum requirements not met,,61500.0,True
APP000010,CAN02704,JOB0046,SRC003,Indeed,2025-09-02,Rejected,Interview,Team fit,,68000.0,True
APP000011,CAN00388,JOB0079,SRC006,Federal Employment Agency,2025-03-25,Rejected,Application,Minimum requirements not met,,80500.0,True
APP000012,CAN11817,JOB0390,SRC005,Recruiting Agency,2025-05-01,Hired,Hired,Minimum requirements not met,,58500.0,True
APP000013,CAN09969,JOB0091,SRC002,LinkedIn,2024-12-31,Rejected,Application,Minimum requirements not met,,61500.0,True
APP000014,CAN03725,JOB0019,SRC001,Career Page,2024-06-08,Rejected,Application,Minimum requirements not met,,74500.0,True
APP000015,CAN10347,JOB0217,SRC005,Recruiting Agency,2024-08-15,Rejected,Screening,Experience mismatch,,76000.0,True
APP000016,CAN13003,JOB0164,SRC001,Career Page,2025-10-27,Rejected,Application,Minimum requirements not met,,,True
APP000017,CAN10343,JOB0273,SRC001,Career Page,2025-09-13,Rejected,Application,Minimum requirements not met,,58000.0,True
APP000018,CAN04149,JOB0183,SRC003,Indeed,2025-08-27,Rejected,Screening,Skills mismatch,,48000.0,True
APP000019,CAN08031,JOB0202,SRC001,Career Page,2025-08-13,Rejected,Application,Minimum requirements not met,,56000.0,True
