candidate_id,age_group,years_experience,education_level,current_location,willing_to_relocate,preferred_work_model
CAN00001,40-49,10,Vocational training,Other Germany,False,No preference
CAN00002,30-39,2,Bachelor,Hamburg,False,Hybrid
CAN00003,50+,12,Master,Other Germany,True,No preference
CAN00004,50+,18,Bachelor,Other Germany,True,Hybrid
CAN00005,30-39,12,Other,Berlin,True,Remote
CAN00006,30-39,0,Vocational training,Hamburg,True,Hybrid
CAN00007,40-49,8,Master,Frankfurt,False,Remote
CAN00008,40-49,5,Vocational training,Other Germany,True,Hybrid
CAN00009,30-39,1,Vocational training,Other Germany,True,Hybrid
CAN00010,20-29,6,Vocational training,Other Germany,False,Remote
CAN00011,40-49,5,Bachelor,Munich,False,Hybrid
CAN00012,20-29,5,Bachelor,Munich,False,Hybrid
CAN00013,30-39,9,Bachelor,Munich,True,Hybrid
CAN00014,30-39,10,Vocational training,Other Germany,False,No preference
CAN00015,40-49,4,Bachelor,Berlin,True,On-site
CAN00016,20-29,0,Bachelor,Frankfurt,False,Hybrid
CAN00017,40-49,4,Bachelor,Other Germany,False,No preference
CAN00018,30-39,9,Vocational training,Berlin,False,Hybrid
CAN00019,30-39,3,Master,Munich,False,Hybrid
CAN00020,20-29,0,Bachelor,Outside Germany,False,Hybrid
CAN00021,20-29,2,Vocational training,Berlin,True,Remote
CAN00022,30-39,8,Bachelor,Other Germany,False,Hybrid
CAN00023,50+,10,Vocational training,Other Germany,False,Remote
CAN00024,20-29,2,Other,Frankfurt,False,No preference
CAN00025,30-39,5,Bachelor,Frankfurt,False,Hybrid
CAN00026,40-49,9,Vocational training,Berlin,True,Remote
CAN00027,40-49,4,Master,Hamburg,False,Remote
CAN00028,20-29,3,Doctorate,Other Germany,False,Remote
CAN00029,40-49,7,Bachelor,Cologne,True,Hybrid
CAN00030,50+,6,Master,Outside Germany,False,Remote
CAN00031,20-29,2,Bachelor,Munich,False,Hybrid
CAN00032,40-49,7,Bachelor,Other Germany,True,No preference
CAN00033,30-39,2,Bachelor,Frankfurt,False,Remote
CAN00034,30-39,8,Vocational training,Berlin,False,Remote
CAN00035,30-39,4,Bachelor,Berlin,False,Hybrid
CAN00036,40-49,9,Vocational training,Cologne,False,Hybrid
CAN00037,20-29,9,Vocational training,Other Germany,True,Remote
CAN00038,40-49,8,Bachelor,Cologne,False,No preference
CAN00039,20-29,6,Vocational training,Other Germany,False,Remote
CAN00040,50+,25,Bachelor,Cologne,False,On-site
CAN00041,20-29,7,Vocational training,Berlin,False,Hybrid
CAN00042,40-49,3,Master,Hamburg,False,Hybrid
CAN00043,30-39,1,Other,Other Germany,True,Remote
CAN00044,40-49,5,Vocational training,Other Germany,False,Remote
CAN00045,40-49,5,Master,Hamburg,False,Hybrid
CAN00046,30-39,8,Vocational training,Munich,False,Hybrid
CAN00047,30-39,7,Bachelor,Other Germany,False,Hybrid
CAN00048,30-39,0,Doctorate,Frankfurt,False,Hybrid
CAN00049,30-39,6,Master,Other Germany,False,Hybrid
CAN00050,20-29,7,Master,Other Germany,True,On-site
CAN00051,30-39,19,Bachelor,Munich,True,On-site
CAN00052,30-39,4,Vocational training,Frankfurt,False,Hybrid
CAN00053,40-49,6,Bachelor,Other Germany,False,No preference
CAN00054,20-29,1,Other,Berlin,True,Remote
CAN00055,40-49,4,Master,Frankfurt,True,On-site
CAN00056,20-29,4,Master,Other Germany,True,Hybrid
CAN00057,40-49,7,Other,Berlin,False,Hybrid
CAN00058,20-29,8,Vocational training,Other Germany,False,Hybrid
CAN00059,30-39,5,Bachelor,Munich,False,Hybrid
CAN00060,30-39,5,Master,Hamburg,False,No preference
CAN00061,30-39,7,Master,Other Germany,False,Hybrid
CAN00062,40-49,15,Vocational training,Berlin,False,Hybrid
CAN00063,30-39,3,Vocational training,Berlin,False,Hybrid
CAN00064,20-29,2,Vocational training,Frankfurt,False,Hybrid
CAN00065,40-49,19,Bachelor,Hamburg,True,No preference
CAN00066,40-49,5,Vocational training,Cologne,False,No preference
CAN00067,20-29,5,Master,Other Germany,False,Hybrid
CAN00068,30-39,1,Master,Berlin,True,On-site
CAN00069,20-29,6,Bachelor,Frankfurt,False,Hybrid
CAN00070,40-49,1,Bachelor,Berlin,True,Hybrid
CAN00071,50+,25,Vocational training,Cologne,True,Remote
CAN00072,20-29,6,Other,Munich,False,Remote
CAN00073,30-39,1,Vocational training,Cologne,True,Hybrid
CAN00074,30-39,6,Doctorate,Frankfurt,True,No preference
CAN00075,30-39,6,Bachelor,Munich,True,Hybrid
CAN00076,20-29,2,Bachelor,Frankfurt,True,No preference
CAN00077,40-49,3,Vocational training,Other Germany,False,Hybrid
CAN00078,30-39,3,Bachelor,Frankfurt,True,Hybrid
CAN00079,30-39,6,Bachelor,Other Germany,False,Hybrid
CAN00080,50+,24,Vocational training,Other Germany,False,On-site
CAN00081,30-39,4,Vocational training,Munich,True,Remote
CAN00082,40-49,10,Bachelor,Hamburg,True,On-site
CAN00083,20-29,4,Vocational training,Munich,False,Remote
CAN00084,40-49,7,Master,Frankfurt,False,No preference
CAN00085,40-49,4,Master,Frankfurt,True,No preference
CAN00086,20-29,2,Bachelor,Munich,False,Remote
CAN00087,30-39,1,Master,Frankfurt,False,Hybrid
CAN00088,20-29,2,Vocational training,Munich,True,No preference
CAN00089,30-39,3,Vocational training,Other Germany,True,Hybrid
CAN00090,20-29,0,Master,Frankfurt,True,Hybrid
CAN00091,40-49,3,Bachelor,Berlin,True,Hybrid
CAN00092,50+,9,Master,Hamburg,False,Remote
CAN00093,20-29,3,Bachelor,Other Germany,False,Remote
CAN00094,30-39,3,Bachelor,Berlin,False,Hybrid
CAN00095,40-49,3,Master,Cologne,True,No preference
CAN00096,30-39,8,Bachelor,Cologne,True,Hybrid
CAN00097,50+,9,Bachelor,Outside Germany,True,On-site
CAN00098,20-29,0,Bachelor,Hamburg,False,No preference
CAN00099,40-49,6,Bachelor,Frankfurt,False,Hybrid
CAN00100,20-29,5,Vocational training,Frankfurt,False,On-site
CAN00101,30-39,8,Vocational training,Frankfurt,False,No preference
CAN00102,50+,19,Master,Frankfurt,False,Remote
CAN00103,20-29,2,Bachelor,Other Germany,True,On-site
CAN00104,40-49,3,Vocational training,Other Germany,False,On-site
CAN00105,40-49,2,Other,Other Germany,False,Hybrid
CAN00106,40-49,4,Vocational training,Berlin,False,On-site
CAN00107,40-49,13,Vocational training,Other Germany,False,Hybrid
CAN00108,50+,18,Vocational training,Hamburg,True,Hybrid
CAN00109,20-29,5,Master,Cologne,False,Remote
CAN00110,40-49,3,Vocational training,Berlin,False,Hybrid
CAN00111,30-39,3,Bachelor,Outside Germany,True,Hybrid
CAN00112,30-39,1,Vocational training,Other Germany,False,Hybrid
CAN00113,50+,12,Vocational training,Other Germany,True,On-site
CAN00114,50+,15,Bachelor,Berlin,False,Hybrid
CAN00115,20-29,7,Vocational training,Cologne,False,Hybrid
CAN00116,30-39,7,Doctorate,Hamburg,True,On-site
CAN00117,50+,12,Doctorate,Other Germany,False,On-site
CAN00118,20-29,1,Vocational training,Munich,False,Remote
CAN00119,30-39,7,Master,Other Germany,False,Hybrid
CAN00120,30-39,7,Master,Outside Germany,False,Hybrid
CAN00121,30-39,2,Other,Berlin,False,On-site
CAN00122,40-49,6,Bachelor,Frankfurt,False,Hybrid
CAN00123,20-29,9,Master,Munich,True,On-site
CAN00124,20-29,5,Vocational training,Hamburg,False,Hybrid
CAN00125,40-49,24,Master,Berlin,False,On-site
CAN00126,20-29,6,Other,Other Germany,True,Hybrid
CAN00127,30-39,6,Doctorate,Munich,False,Remote
CAN00128,30-39,4,Vocational training,Cologne,False,Remote
CAN00129,20-29,8,Bachelor,Hamburg,False,Hybrid
CAN00130,40-49,3,Vocational training,Berlin,False,On-site
CAN00131,50+,10,Bachelor,Hamburg,False,Hybrid
CAN00132,30-39,5,Bachelor,Frankfurt,False,Hybrid
CAN00133,30-39,2,Other,Other Germany,False,Hybrid
CAN00134,30-39,12,Master,Berlin,True,Hybrid
CAN00135,20-29,1,Bachelor,Berlin,False,Remote
CAN00136,30-39,12,Master,Frankfurt,False,Remote
CAN00137,20-29,4,Bachelor,Other Germany,False,Hybrid
CAN00138,40-49,6,Bachelor,Hamburg,False,Hybrid
CAN00139,40-49,4,Bachelor,Frankfurt,False,Hybrid
CAN00140,30-39,2,Bachelor,Munich,True,Remote
CAN00141,30-39,8,Master,Frankfurt,False,No preference
CAN00142,30-39,5,Bachelor,Outside Germany,False,Hybrid
CAN00143,40-49,8,Master,Hamburg,False,On-site
CAN00144,40-49,4,Master,Frankfurt,False,Hybrid
CAN00145,30-39,6,Bachelor,Other Germany,False,Remote
CAN00146,40-49,13,Master,Berlin,False,Hybrid
CAN00147,40-49,7,Bachelor,Frankfurt,False,Hybrid
CAN00148,20-29,1,Master,Munich,False,Remote
CAN00149,40-49,3,Bachelor,Other Germany,False,No preference
CAN00150,40-49,14,Vocational training,Frankfurt,True,Hybrid
CAN00151,30-39,2,Bachelor,Other Germany,False,Hybrid
CAN00152,40-49,9,Bachelor,Frankfurt,False,Hybrid
CAN00153,30-39,1,Master,Berlin,False,No preference
CAN00154,20-29,4,Bachelor,Hamburg,False,No preference
CAN00155,40-49,3,Vocational training,Outside Germany,False,Remote
CAN00156,30-39,11,Bachelor,Other Germany,False,Remote
CAN00157,30-39,3,Vocational training,Other Germany,False,On-site
CAN00158,50+,12,Vocational training,Cologne,False,Hybrid
CAN00159,30-39,7,Vocational training,Other Germany,False,On-site
CAN00160,40-49,4,Master,Other Germany,True,Hybrid
CAN00161,30-39,2,Vocational training,Other Germany,False,Hybrid
CAN00162,30-39,3,Bachelor,Berlin,False,No preference
CAN00163,30-39,2,Master,Hamburg,True,Remote
CAN00164,40-49,8,Vocational training,Frankfurt,True,No preference
CAN00165,30-39,8,Master,Other Germany,False,Remote
CAN00166,40-49,4,Bachelor,Munich,False,Hybrid
CAN00167,40-49,10,Vocational training,Outside Germany,True,Hybrid
CAN00168,40-49,4,Master,Frankfurt,False,Remote
CAN00169,20-29,5,Master,Hamburg,False,Remote
CAN00170,40-49,5,Vocational training,Frankfurt,False,Hybrid
CAN00171,20-29,3,Vocational training,Cologne,False,Remote
CAN00172,30-39,8,Vocational training,Other Germany,False,Hybrid
CAN00173,40-49,12,Bachelor,Other Germany,False,On-site
CAN00174,20-29,1,Bachelor,Munich,True,Hybrid
CAN00175,40-49,0,Vocational training,Berlin,False,Hybrid
CAN00176,40-49,14,Vocational training,Hamburg,True,On-site
CAN00177,40-49,8,Bachelor,Hamburg,False,Hybrid
CAN00178,40-49,5,Master,Berlin,False,Hybrid
CAN00179,40-49,14,Master,Berlin,False,Remote
CAN00180,30-39,6,Bachelor,Hamburg,False,No preference
CAN00181,30-39,5,Bachelor,Cologne,False,On-site
CAN00182,50+,7,Bachelor,Berlin,False,Hybrid
CAN00183,40-49,3,Bachelor,Cologne,True,Hybrid
CAN00184,20-29,2,Bachelor,Hamburg,False,No preference
CAN00185,40-49,16,Bachelor,Hamburg,True,Hybrid
CAN00186,30-39,2,Bachelor,Frankfurt,False,Hybrid
CAN00187,20-29,1,Master,Other Germany,False,Remote
CAN00188,40-49,14,Bachelor,Hamburg,False,On-site
CAN00189,30-39,3,Other,Hamburg,True,Hybrid
CAN00190,20-29,1,Bachelor,Outside Germany,False,Remote
CAN00191,20-29,2,Master,Cologne,False,No preference
CAN00192,50+,10,Bachelor,Hamburg,True,On-site
CAN00193,30-39,7,Master,Munich,False,On-site
CAN00194,20-29,4,Vocational training,Hamburg,True,Hybrid
CAN00195,50+,12,Bachelor,Munich,False,No preference
CAN00196,30-39,2,Master,Cologne,False,Remote
CAN00197,20-29,8,Master,Frankfurt,True,No preference
CAN00198,30-39,6,Master,Berlin,False,Hybrid
CAN00199,20-29,4,Bachelor,Frankfurt,False,Remote
CAN00200,30-39,2,Bachelor,Hamburg,False,Hybrid
CAN00201,30-39,5,Bachelor,Outside Germany,True,Remote
CAN00202,30-39,4,Vocational training,Other Germany,True,No preference
CAN00203,20-29,4,Vocational training,Other Germany,False,No preference
CAN00204,20-29,5,Bachelor,Other Germany,True,Remote
CAN00205,30-39,3,Bachelor,Berlin,False,Hybrid
CAN00206,20-29,7,Master,Other Germany,False,Remote
CAN00207,30-39,5,Master,Berlin,False,No preference
CAN00208,40-49,4,Vocational training,Berlin,True,On-site
CAN00209,30-39,14,Vocational training,Frankfurt,True,Hybrid
CAN00210,40-49,14,Doctorate,Frankfurt,True,On-site
CAN00211,40-49,9,Bachelor,Other Germany,False,Hybrid
CAN00212,40-49,19,Other,Other Germany,True,Hybrid
CAN00213,40-49,3,Bachelor,Berlin,True,Remote
CAN00214,40-49,2,Bachelor,Frankfurt,False,Hybrid
