interview_id,application_id,interview_round,scheduled_date,completed_date,interview_format,interviewer_role,score,recommendation,no_show
INT000001,APP000001,1,2025-03-27,2025-03-27,On-site,Hiring Manager,4.5,Proceed,False
INT000002,APP000002,1,2025-08-13,2025-08-13,Video,Hiring Manager,3.8,Proceed,False
INT000003,APP000005,1,2025-08-21,2025-08-21,Video,Hiring Manager,2.6,Reject,False
INT000004,APP000009,1,2024-08-19,2024-08-19,On-site,Hiring Manager,2.3,Reject,False
INT000005,APP000010,1,2025-10-03,2025-10-03,Phone,Hiring Manager,3.8,Proceed,False
INT000006,APP000012,1,2025-05-09,2025-05-09,Phone,Hiring Manager,1.8,Reject,False
INT000007,APP000012,2,2025-05-20,2025-05-20,On-site,Panel,2.0,Hold,False
INT000008,APP000020,1,2024-04-29,2024-04-29,On-site,Hiring Manager,3.3,Hold,False
INT000009,APP000021,1,2025-06-03,2025-06-03,Video,Hiring Manager,3.9,Proceed,False
INT000010,APP000024,1,2024-11-27,2024-11-27,Video,Hiring Manager,3.4,Proceed,False
INT000011,APP000025,1,2024-07-21,2024-07-21,Video,Hiring Manager,2.2,Reject,False
INT000012,APP000032,1,2025-09-07,2025-09-07,Phone,Hiring Manager,3.1,Hold,False
INT000013,APP000035,1,2024-06-02,2024-06-02,Video,Hiring Manager,4.1,Proceed,False
INT000014,APP000040,1,2024-08-08,2024-08-08,Video,Hiring Manager,2.6,Reject,False
INT000015,APP000044,1,2024-09-09,2024-09-09,On-site,Hiring Manager,3.1,Hold,False
INT000016,APP000053,1,2024-10-07,2024-10-07,Video,Hiring Manager,5.0,Proceed,False
INT000017,APP000057,1,2024-02-25,2024-02-25,On-site,Hiring Manager,3.1,Hold,False
INT000018,APP000061,1,2025-07-07,2025-07-07,Phone,Hiring Manager,3.5,Proceed,False
INT000019,APP000067,1,2025-12-14,2025-12-14,Video,Hiring Manager,4.1,Proceed,False
INT000020,APP000068,1,2025-08-26,2025-08-26,On-site,Hiring Manager,4.3,Proceed,False
INT000021,APP000068,2,2025-09-03,2025-09-03,On-site,Panel,3.8,Proceed,False
INT000022,APP000070,1,2024-09-12,2024-09-12,On-site,Hiring Manager,3.3,Hold,False
INT000023,APP000070,2,2024-09-18,2024-09-18,On-site,Panel,3.0,Hold,False
INT000024,APP000075,1,2025-06-01,2025-06-01,On-site,Hiring Manager,4.5,Proceed,False
INT000025,APP000085,1,2025-08-24,2025-08-24,Video,Hiring Manager,2.3,Reject,False
INT000026,APP000092,1,2024-12-28,2024-12-28,Video,Hiring Manager,5.0,Proceed,False
INT000027,APP000093,1,2024-08-01,2024-08-01,On-site,Hiring Manager,3.4,Proceed,False
INT000028,APP000093,2,2024-08-07,2024-08-07,Video,Panel,4.1,Proceed,False
INT000029,APP000097,1,2024-06-14,2024-06-14,Phone,Hiring Manager,1.9,Reject,False
INT000030,APP000099,1,2025-07-01,2025-07-01,Video,Hiring Manager,4.0,Proceed,False
INT000031,APP000102,1,2025-10-31,2025-10-31,On-site,Hiring Manager,4.4,Proceed,False
INT000032,APP000109,1,2024-06-12,2024-06-12,Video,Hiring Manager,2.4,Reject,False
INT000033,APP000113,1,2024-12-04,2024-12-04,Video,Hiring Manager,1.6,Reject,False
INT000034,APP000119,1,2025-10-17,2025-10-17,On-site,Hiring Manager,4.0,Proceed,False
INT000035,APP000120,1,2025-06-14,2025-06-14,On-site,Hiring Manager,3.6,Proceed,False
INT000036,APP000121,1,2025-08-17,2025-08-17,Video,Hiring Manager,4.0,Proceed,False
INT000037,APP000123,1,2025-11-02,2025-11-02,Video,Hiring Manager,3.6,Proceed,False
INT000038,APP000135,1,2025-09-22,2025-09-22,Video,Hiring Manager,3.5,Proceed,False
INT000039,APP000144,1,2025-11-22,2025-11-22,Phone,Hiring Manager,3.6,Proceed,False
INT000040,APP000145,1,2025-10-19,2025-10-19,On-site,Hiring Manager,2.1,Reject,False
INT000041,APP000146,1,2025-04-17,2025-04-17,Video,Hiring Manager,4.5,Proceed,False
INT000042,APP000150,1,2025-06-01,2025-06-01,On-site,Hiring Manager,4.7,Proceed,False
INT000043,APP000152,1,2026-01-12,2026-01-12,Video,Hiring Manager,4.7,Proceed,False
INT000044,APP000159,1,2025-07-29,2025-07-29,Video,Hiring Manager,4.1,Proceed,False
INT000045,APP000160,1,2025-01-08,2025-01-08,Video,Hiring Manager,2.9,Hold,False
INT000046,APP000163,1,2024-03-26,2024-03-26,Video,Hiring Manager,3.8,Proceed,False
INT000047,APP000163,2,2024-04-01,2024-04-01,On-site,Panel,3.7,Proceed,False
INT000048,APP000164,1,2025-08-02,2025-08-02,On-site,Hiring Manager,2.8,Hold,False
INT000049,APP000167,1,2025-05-22,2025-05-22,On-site,Hiring Manager,1.5,Reject,False
INT000050,APP000169,1,2024-11-26,2024-11-26,Video,Hiring Manager,2.8,Hold,False
INT000051,APP000170,1,2025-04-22,2025-04-22,Video,Hiring Manager,4.5,Proceed,False
INT000052,APP000173,1,2025-01-02,2025-01-02,Video,Hiring Manager,4.6,Proceed,False
INT000053,APP000177,1,2024-12-11,2024-12-11,On-site,Hiring Manager,2.2,Reject,False
INT000054,APP000177,2,2024-12-21,2024-12-21,On-site,Panel,2.7,Hold,False
INT000055,APP000180,1,2025-03-01,2025-03-01,On-site,Hiring Manager,4.4,Proceed,False
INT000056,APP000186,1,2025-08-21,2025-08-21,On-site,Hiring Manager,2.6,Reject,False
INT000057,APP000186,2,2025-08-28,2025-08-28,On-site,Panel,3.4,Proceed,False
INT000058,APP000189,1,2025-02-01,2025-02-01,Video,Hiring Manager,3.5,Proceed,False
INT000059,APP000191,1,2024-07-20,2024-07-20,Video,Hiring Manager,4.5,Proceed,False
INT000060,APP000191,2,2024-07-30,2024-07-30,On-site,Panel,4.6,Proceed,False
INT000061,APP000192,1,2025-11-07,2025-11-07,Phone,Hiring Manager,3.1,Hold,False
INT000062,APP000195,1,2024-02-24,2024-02-24,On-site,Hiring Manager,4.1,Proceed,False
INT000063,APP000199,1,2024-09-28,2024-09-28,Video,Hiring Manager,4.4,Proceed,False
INT000064,APP000213,1,2024-06-03,2024-06-03,On-site,Hiring Manager,3.9,Proceed,False
INT000065,APP000215,1,2024-03-25,2024-03-25,Video,Hiring Manager,3.3,Hold,False
INT000066,APP000225,1,2024-12-21,2024-12-21,Video,Hiring Manager,3.6,Proceed,False
INT000067,APP000226,1,2025-04-19,2025-04-19,On-site,Hiring Manager,3.1,Hold,False
INT000068,APP000227,1,2024-09-29,2024-09-29,Phone,Hiring Manager,2.8,Hold,False
INT000069,APP000230,1,2024-04-30,2024-04-30,On-site,Hiring Manager,2.5,Reject,False
INT000070,APP000231,1,2025-02-12,2025-02-12,Video,Hiring Manager,3.6,Proceed,False
INT000071,APP000234,1,2025-10-07,2025-10-07,Video,Hiring Manager,2.5,Reject,False
INT000072,APP000234,2,2025-10-12,2025-10-12,On-site,Panel,2.5,Hold,False
INT000073,APP000236,1,2025-11-02,2025-11-02,Video,Hiring Manager,4.1,Proceed,False
INT000074,APP000243,1,2024-04-02,2024-04-02,On-site,Hiring Manager,3.6,Proceed,False
INT000075,APP000249,1,2024-10-17,2024-10-17,On-site,Hiring Manager,3.5,Proceed,False
INT000076,APP000254,1,2025-06-06,2025-06-06,Video,Hiring Manager,2.9,Hold,False
INT000077,APP000258,1,2025-04-30,2025-04-30,On-site,Hiring Manager,2.6,Reject,False
INT000078,APP000262,1,2025-04-10,2025-04-10,Video,Hiring Manager,4.2,Proceed,False
INT000079,APP000262,2,2025-04-15,2025-04-15,On-site,Panel,4.5,Proceed,False
INT000080,APP000263,1,2025-12-27,2025-12-27,On-site,Hiring Manager,2.4,Reject,False
INT000081,APP000265,1,2024-12-27,2024-12-27,On-site,Hiring Manager,5.0,Proceed,False
INT000082,APP000271,1,2024-03-17,2024-03-17,Video,Hiring Manager,4.9,Proceed,False
INT000083,APP000273,1,2024-08-19,2024-08-19,Video,Hiring Manager,2.9,Hold,False
INT000084,APP000276,1,2024-10-29,2024-10-29,Phone,Hiring Manager,,Reject,False
INT000085,APP000276,2,2024-11-08,2024-11-08,On-site,Panel,2.7,Hold,False
INT000086,APP000277,1,2024-05-29,2024-05-29,Phone,Hiring Manager,4.1,Proceed,False
INT000087,APP000278,1,2024-08-24,2024-08-24,On-site,Hiring Manager,3.7,Proceed,False
INT000088,APP000278,2,2024-08-30,2024-08-30,On-site,Panel,4.5,Proceed,False
INT000089,APP000284,1,2024-04-07,2024-04-07,On-site,Hiring Manager,2.8,Hold,False
INT000090,APP000287,1,2024-09-12,2024-09-12,Video,Hiring Manager,3.6,Proceed,False
INT000091,APP000289,1,2025-06-15,2025-06-15,On-site,Hiring Manager,3.0,Hold,False
INT000092,APP000295,1,2024-05-17,2024-05-17,Video,Hiring Manager,3.9,Proceed,False
INT000093,APP000299,1,2025-10-05,2025-10-05,Video,Hiring Manager,3.9,Proceed,False
INT000094,APP000303,1,2024-10-27,2024-10-27,Phone,Hiring Manager,3.0,Hold,False
INT000095,APP000309,1,2025-08-07,2025-08-07,On-site,Hiring Manager,4.8,Proceed,False
INT000096,APP000310,1,2024-09-22,2024-09-22,Video,Hiring Manager,3.6,Proceed,False
INT000097,APP000311,1,2025-11-03,2025-11-03,On-site,Hiring Manager,2.5,Reject,False
INT000098,APP000324,1,2024-12-16,2024-12-16,Video,Hiring Manager,3.0,Hold,False
INT000099,APP000325,1,2024-10-31,2024-10-31,On-site,Hiring Manager,1.4,Reject,False
INT000100,APP000330,1,2025-02-15,2025-02-15,On-site,Hiring Manager,4.2,Proceed,False
INT000101,APP000334,1,2025-04-25,2025-04-25,Video,Hiring Manager,3.2,Hold,False
INT000102,APP000334,2,2025-05-06,2025-05-06,Video,Panel,2.8,Hold,False
INT000103,APP000338,1,2025-10-06,2025-10-06,On-site,Hiring Manager,3.5,Proceed,False
INT000104,APP000341,1,2025-01-02,2025-01-02,Video,Hiring Manager,3.2,Hold,False
