offer_id,application_id,offer_date,base_salary_eur,bonus_pct,offer_status,response_date,decline_reason,planned_start_date
OFF000001,APP000009,2024-08-23,60500,8,Accepted,2024-08-31,,2024-09-30
OFF000002,APP000012,2025-05-29,64000,5,Accepted,2025-06-01,,2025-07-08
OFF000003,APP000025,2024-07-24,68000,0,Accepted,2024-08-02,,2024-10-01
OFF000004,APP000068,2025-09-12,85000,10,Accepted,2025-09-20,,2025-11-03
OFF000005,APP000070,2024-09-21,103000,8,Accepted,2024-09-30,,2024-11-07
OFF000009,APP000177,2024-12-25,82500,8,Declined,2024-12-28,Compensation,
OFF000011,APP000191,2024-08-03,81000,12,Declined,2024-08-12,Location,
OFF000012,APP000213,2024-06-09,69000,10,Accepted,2024-06-12,,2024-07-12
OFF000014,APP000227,2024-10-08,69500,0,Declined,2024-10-12,Personal reasons,
OFF000015,APP000234,2025-10-16,85000,0,Accepted,2025-10-20,,2025-11-22
OFF000016,APP000243,2024-04-11,77500,8,Accepted,2024-04-20,,2024-06-17
OFF000017,APP000262,2025-04-25,114000,5,Declined,2025-04-26,Compensation,
OFF000018,APP000276,2024-11-10,92500,8,Accepted,2024-11-11,,2025-01-14
OFF000019,APP000277,2024-06-02,56000,5,Accepted,2024-06-10,,2024-07-21
OFF000020,APP000278,2024-09-03,76000,12,Accepted,2024-09-12,,2024-11-07
OFF000021,APP000289,2025-06-18,55000,8,Accepted,2025-06-20,,2025-07-24
OFF000023,APP000491,2024-12-22,74000,8,Accepted,2024-12-23,,2025-02-02
OFF000025,APP000548,2025-02-28,84000,12,Declined,2025-03-08,Accepted another offer,
OFF000026,APP000556,2025-04-22,106000,5,Accepted,2025-04-23,,2025-05-29
OFF000027,APP000569,2025-10-27,89000,10,Declined,2025-10-30,Compensation,
OFF000029,APP000639,2024-09-25,86000,8,Declined,2024-10-02,Location,
OFF000034,APP000782,2025-04-08,76000,12,Accepted,2025-04-13,,2025-05-29
OFF000035,APP000789,2025-07-17,99500,12,Accepted,2025-07-22,,2025-08-26
OFF000036,APP000831,2024-05-23,81500,5,Declined,2024-05-26,Location,
OFF000037,APP000867,2024-03-15,84000,8,Declined,2024-03-20,Compensation,
OFF000038,APP000873,2024-10-12,79500,12,Accepted,2024-10-14,,2024-12-02
OFF000039,APP000905,2024-09-08,103500,10,Accepted,2024-09-09,,2024-10-12
OFF000041,APP000918,2025-02-20,69500,10,Accepted,2025-02-28,,2025-02-03
OFF000043,APP000934,2025-01-27,69000,12,Accepted,2025-02-04,,2025-03-24
OFF000044,APP000954,2024-09-07,84500,10,Accepted,2024-09-08,,2024-10-19
OFF000045,APP000998,2025-10-08,66500,10,Accepted,2025-10-17,,2025-11-09
OFF000047,APP001003,2024-12-17,110000,10,Accepted,2024-12-25,,2024-12-06
OFF000048,APP001004,2024-12-19,88000,0,Accepted,2024-12-26,,2025-02-25
OFF000049,APP001019,2025-08-15,76500,10,Accepted,2025-08-24,,2025-09-29
OFF000050,APP001034,2024-11-12,112000,5,Accepted,2024-11-18,,2025-01-02
OFF000052,APP001062,2025-11-30,75000,10,Accepted,2025-12-02,,2026-01-13
OFF000054,APP001082,2024-03-08,60500,8,Accepted,2024-03-10,,2024-05-06
OFF000055,APP001086,2024-05-24,67000,8,Accepted,2024-06-01,,2024-07-15
OFF000056,APP001114,2024-05-22,78000,0,Accepted,2024-05-30,,2024-07-31
OFF000057,APP001189,2024-07-25,69000,12,Declined,2024-08-01,Compensation,
OFF000058,APP001197,2025-08-03,72000,0,Accepted,2025-08-04,,2025-09-16
OFF000059,APP001202,2024-11-25,85500,5,Accepted,2024-11-28,,2025-01-10
OFF000061,APP001250,2024-03-01,67500,0,Accepted,2024-03-05,,2024-04-23
OFF000062,APP001259,2024-10-15,82000,5,Accepted,2024-10-16,,2024-12-19
OFF000063,APP001269,2024-11-06,72000,8,Accepted,2024-11-08,,2024-12-04
OFF000065,APP001302,2025-05-12,74500,10,Accepted,2025-05-16,,2025-06-06
OFF000066,APP001372,2024-04-29,70000,0,Declined,2024-05-01,Compensation,
OFF000067,APP001411,2025-06-17,83500,5,Accepted,2025-06-21,,2025-08-05
OFF000068,APP001425,2025-10-16,76500,8,Declined,2025-10-17,Accepted another offer,
OFF000070,APP001455,2024-11-02,80000,12,Accepted,2024-11-10,,2024-12-26
OFF000071,APP001469,2025-05-03,74000,0,Accepted,2025-05-06,,2025-06-04
OFF000074,APP001536,2025-08-07,58000,12,Accepted,2025-08-15,,2025-10-09
OFF000075,APP001554,2025-05-04,92000,10,Accepted,2025-05-12,,2025-06-19
OFF000076,APP001566,2024-03-27,60000,5,Accepted,2024-04-01,,2024-05-24
OFF000078,APP001623,2024-08-11,80000,5,Declined,2024-08-16,Role scope,
OFF000080,APP001721,2024-04-17,75000,0,Accepted,2024-04-22,,2024-06-09
OFF000081,APP001723,2025-05-11,47000,8,Accepted,2025-05-02,,2025-06-27
OFF000083,APP001774,2025-11-26,75000,8,Accepted,2025-12-03,,2026-02-04
OFF000084,APP001780,2024-06-01,64500,12,Accepted,2024-06-05,,2024-07-16
OFF000092,APP001988,2024-11-30,69500,8,Accepted,2024-12-06,,2025-01-09
OFF000094,APP002014,2024-03-05,60000,5,Accepted,2024-03-07,,2024-04-03
OFF000095,APP002017,2024-04-16,77000,0,Accepted,2024-04-21,,2024-06-02
OFF000096,APP002032,2024-08-16,86000,8,Declined,2024-08-22,Accepted another offer,
OFF000097,APP002033,2025-02-09,88000,0,Accepted,2025-02-11,,2025-03-22
OFF000098,APP002076,2024-12-30,69000,10,Accepted,2025-01-05,,2025-02-28
OFF000101,APP002105,2025-10-03,83000,0,Declined,2025-10-08,Role scope,
OFF000103,APP002201,2025-04-14,96000,12,Accepted,2025-04-17,,2025-05-14
OFF000104,APP002220,2025-04-25,62500,10,Declined,2025-05-03,Accepted another offer,
OFF000105,APP002228,2024-07-25,57500,10,Accepted,2024-07-31,,2024-09-17
OFF000106,APP002261,2025-03-20,109000,8,Accepted,2025-03-22,,2025-05-25
OFF000107,APP002281,2025-06-11,67000,8,Accepted,2025-06-20,,2025-06-13
OFF000108,APP002325,2025-01-09,76500,5,Accepted,2025-01-11,,2025-02-19
OFF000109,APP002361,2025-02-04,91000,0,Accepted,2025-02-10,,2025-03-22
OFF000110,APP002382,2025-09-19,74000,8,Declined,2025-09-20,Compensation,
OFF000111,APP002388,2025-10-05,61500,8,Accepted,2025-10-11,,2025-11-17
OFF000112,APP002408,2025-08-22,97000,0,Accepted,2025-08-24,,2025-09-16
OFF000114,APP002469,2025-04-17,92000,5,Accepted,2025-04-22,,2025-06-07
OFF000116,APP002492,2025-10-31,57000,12,Declined,2025-11-02,Accepted another offer,
OFF000117,APP002496,2025-10-19,90000,12,Accepted,2025-10-27,,2025-11-26
OFF000119,APP002513,2025-12-09,75000,12,Accepted,2025-12-16,,2026-01-18
OFF000120,APP002534,2024-09-24,66000,10,Declined,2024-09-28,Compensation,
OFF000121,APP002549,2025-11-30,90000,12,Accepted,2025-12-09,,2026-01-20
OFF000122,APP002552,2024-07-02,68000,0,Accepted,2024-07-10,,2024-08-20
OFF000123,APP002557,2024-03-28,70000,8,Accepted,2024-03-29,,2024-05-30
OFF000124,APP002614,2024-07-31,88000,10,Accepted,2024-08-04,,2024-08-27
OFF000125,APP002644,2025-07-15,83000,10,Accepted,2025-07-21,,2025-09-02
OFF000126,APP002661,2024-03-21,59000,8,Accepted,2024-03-25,,2024-05-10
OFF000127,APP002665,2025-01-08,64500,10,Accepted,2025-01-09,,2025-02-12
OFF000128,APP002671,2025-04-24,113000,8,Accepted,2025-04-28,,2025-06-05
OFF000129,APP002681,2025-08-04,85500,10,Declined,2025-08-09,Accepted another offer,
OFF000131,APP002723,2025-09-13,89000,10,Accepted,2025-09-16,,2025-10-11
OFF000133,APP002738,2024-09-06,90000,0,Accepted,2024-09-15,,2024-10-07
OFF000134,APP002790,2025-11-04,93000,8,Accepted,2025-11-08,,2025-12-02
OFF000135,APP002797,2025-06-09,96000,8,Declined,2025-06-16,Accepted another offer,
