event_id,application_id,stage_name,event_date,stage_sequence
EVT0000001,APP000001,Application Submitted,2025-03-09,1
EVT0000002,APP000001,Recruiter Screen,2025-03-16,2
EVT0000003,APP000001,Interview 1,2025-03-27,3
EVT0000004,APP000001,Rejected,2025-03-28,4
EVT0000005,APP000002,Application Submitted,2025-07-23,1
EVT0000006,APP000002,Recruiter Screen,2025-07-28,2
EVT0000007,APP000002,Interview 1,2025-08-13,3
EVT0000008,APP000002,Rejected,2025-08-14,4
EVT0000009,APP000003,Application Submitted,2025-02-04,1
EVT0000010,APP000003,Rejected,2025-02-06,2
EVT0000011,APP000004,Application Submitted,2024-07-08,1
EVT0000012,APP000004,Rejected,2024-07-10,2
EVT0000013,APP000005,Application Submitted,2025-07-30,1
EVT0000014,APP000005,Recruiter Screen,2025-08-05,2
EVT0000015,APP000005,Interview 1,2025-08-21,3
EVT0000016,APP000005,Rejected,2025-08-27,4
EVT0000017,APP000006,Application Submitted,2024-03-26,1
EVT0000018,APP000006,Rejected,2024-03-29,2
EVT0000019,APP000007,Application Submitted,2025-04-21,1
EVT0000020,APP000007,Rejected,2025-04-26,2
EVT0000021,APP000008,Application Submitted,2024-02-07,1
EVT0000022,APP000008,Rejected,2024-02-11,2
EVT0000023,APP000009,Application Submitted,2024-07-25,1
EVT0000024,APP000009,Recruiter Screen,2024-07-29,2
EVT0000025,APP000009,Interview 1,2024-08-19,3
EVT0000026,APP000009,Offer,2024-08-23,5
EVT0000027,APP000009,Hired,2024-08-31,6
EVT0000028,APP000010,Application Submitted,2025-09-02,1
EVT0000029,APP000010,Recruiter Screen,2025-09-09,2
EVT0000030,APP000010,Interview 1,2025-10-03,3
EVT0000031,APP000010,Rejected,2025-10-10,4
EVT0000032,APP000011,Application Submitted,2025-03-25,1
EVT0000033,APP000011,Rejected,2025-03-29,2
EVT0000034,APP000012,Application Submitted,2025-05-01,1
EVT0000035,APP000012,Recruiter Screen,2025-05-03,2
EVT0000036,APP000012,Interview 1,2025-05-09,3
EVT0000037,APP000012,Interview 2,2025-05-20,4
EVT0000038,APP000012,Offer,2025-05-29,5
EVT0000039,APP000012,Hired,2025-06-01,6
EVT0000040,APP000013,Application Submitted,2024-12-31,1
EVT0000041,APP000013,Rejected,2025-01-01,2
EVT0000042,APP000014,Application Submitted,2024-06-08,1
EVT0000043,APP000014,Rejected,2024-06-11,2
EVT0000044,APP000015,Application Submitted,2024-08-15,1
EVT0000045,APP000015,Recruiter Screen,2024-08-16,2
EVT0000046,APP000015,Rejected,2024-08-18,3
EVT0000047,APP000016,Application Submitted,2025-10-27,1
EVT0000048,APP000016,Rejected,2025-10-30,2
EVT0000049,APP000017,Application Submitted,2025-09-13,1
EVT0000050,APP000017,Rejected,2025-09-19,2
EVT0000051,APP000018,Application Submitted,2025-08-27,1
EVT0000052,APP000018,Recruiter Screen,2025-09-04,2
EVT0000053,APP000018,Rejected,2025-09-06,3
EVT0000054,APP000019,Application Submitted,2025-08-13,1
EVT0000055,APP000019,Rejected,2025-08-14,2
EVT0000056,APP000020,Application Submitted,2024-04-15,1
EVT0000057,APP000020,Recruiter Screen,2024-04-22,2
EVT0000058,APP000020,Interview 1,2024-04-29,3
EVT0000059,APP000020,Rejected,2024-04-30,4
EVT0000060,APP000021,Application Submitted,2025-05-14,1
EVT0000061,APP000021,Recruiter Screen,2025-05-19,2
EVT0000062,APP000021,Interview 1,2025-06-03,3
EVT0000063,APP000021,Withdrawn,2025-06-04,4
EVT0000064,APP000022,Application Submitted,2025-03-10,1
EVT0000065,APP000022,Recruiter Screen,2025-03-15,2
EVT0000066,APP000022,Rejected,2025-03-18,3
EVT0000067,APP000023,Application Submitted,2025-05-09,1
EVT0000068,APP000023,Rejected,2025-05-15,2
EVT0000069,APP000024,Application Submitted,2024-10-27,1
EVT0000070,APP000024,Recruiter Screen,2024-11-07,2
EVT0000071,APP000024,Interview 1,2024-11-27,3
EVT0000072,APP000024,Rejected,2024-11-30,4
EVT0000073,APP000025,Application Submitted,2024-06-15,1
EVT0000074,APP000025,Recruiter Screen,2024-06-21,2
EVT0000075,APP000025,Interview 1,2024-07-21,3
EVT0000076,APP000025,Offer,2024-07-24,5
EVT0000077,APP000025,Hired,2024-08-02,6
EVT0000078,APP000026,Application Submitted,2025-10-29,1
EVT0000079,APP000026,Rejected,2025-10-31,2
EVT0000080,APP000027,Application Submitted,2025-01-07,1
EVT0000081,APP000027,Rejected,2025-01-10,2
EVT0000082,APP000028,Application Submitted,2024-07-09,1
